Tea Room Other Great Outdoors,Ramen /  Noodle House,20,0.9523809523809523
Tea Room,Ramen /  Noodle House Other Great Outdoors,20,0.8695652173913043
Ramen /  Noodle House Other Great Outdoors,Tea Room,20,0.8333333333333334
Ramen /  Noodle House,Tea Room Other Great Outdoors,20,0.7142857142857143
Ramen /  Noodle House Tea Room,Other Great Outdoors,20,0.9090909090909091
Drugstore / Pharmacy,Ramen /  Noodle House,20,0.9090909090909091
Ramen /  Noodle House,Drugstore / Pharmacy,20,0.7142857142857143
Drugstore / Pharmacy,Other Great Outdoors,20,0.9090909090909091
Tea Room,Ramen /  Noodle House,22,0.9565217391304348
Ramen /  Noodle House,Tea Room,22,0.7857142857142857
Tea Room,Other Great Outdoors,21,0.9130434782608695
Ramen /  Noodle House,Other Great Outdoors,24,0.8571428571428571
