Subway Café Government Building Convenience Store,Train Station,20,1.0
Convenience Store Japanese Restaurant,Fast Food Restaurant,21,0.9545454545454546
Arcade,Gym / Fitness Center,20,0.8695652173913043
Convenience Store Bar Neighborhood,Train Station,22,1.0
Train Station Convenience Store Bridge,Food & Drink Shop,21,0.9130434782608695
Bookstore Food & Drink Shop,Train Station,24,1.0
Office,Train Station,29,1.0
Bridge,Road,38,0.926829268292683
Military Base Food & Drink Shop,Train Station,25,0.9615384615384616
Subway Food & Drink Shop Convenience Store Miscellaneous Shop Office,Train Station,21,1.0
Convenience Store,Train Station,26,1.0
Ramen /  Noodle House Arcade,Train Station,20,1.0
Park Subway Convenience Store,Train Station,20,1.0
Food & Drink Shop Convenience Store Mall,Train Station,20,1.0
Park Art Museum Historic Site Office Stadium,Science Museum,23,0.8846153846153846
Bridge,Road,20,0.7142857142857143
Building Home (private) River Bridge,Train Station,21,1.0
